class_1_f1,class_1_precision,class_1_recall,class_2_f1,class_2_precision,class_2_recall,class_3_f1,class_3_precision,class_3_recall,class_4_f1,class_4_precision,class_4_recall,epoch,epoch_confusion,mean_precision,mean_recall,train_loss,val_loss
 [ 92. 188.  21.   0.   0.]
 [157.  28. 104.  39.   0.]
 [ 46.   0.  36.  61.  31.]
 [ 91.   0.   0.  24. 183.]],0.33339672067350634,0.4157516652494331,0.8127867303167781,1.878877645092351
0.37647647327292477,0.36572779072779077,0.443020482603816,0.30251100828126554,0.33587641604882984,0.3608262427227944,0.33374482660196947,0.3368393511250654,0.37783882783882783,0.41185844150913475,0.3619302999737781,0.5040602714515758,33,[[  0. 153. 196.  94. 192.]
 [ 95. 184.  19.   3.   0.]
 [158.  38. 100.  32.   0.]
 [ 44.   0.  37.  65.  28.]
 [ 92.   0.   0.  23. 183.]],0.3646389139134675,0.45190905118360475,0.8031681650318205,1.9176159559616022
0.36618100086783106,0.4148343109881571,0.35765290265290267,0.33402810124172355,0.36863211951447244,0.41404974110856463,0.3328822477758648,0.33342198581560284,0.3953900709219858,0.3806858532698018,0.3537545787545788,0.43493894993894994,34,[[  0. 106. 153. 111. 154.]
 [107. 128.  65.   1.   0.]
 [165.   7. 118.  38.   0.]
 [ 51.   0.  28.  81.  14.]
 [101.   0.   0.  32. 165.]],0.37668945431222217,0.4300427478440871,0.7713842652738094,2.1916175426117013
0.3975724476792143,0.4009124160843299,0.44151271263947317,0.30512233441299186,0.3719607843137255,0.31436677701383586,0.3042320139407518,0.284100015410695,0.39595469255663435,0.384011828931615,0.34645590100135554,0.45859187109187105,35,[[  0. 138. 122. 161. 191.]
 [105. 176.  15.   5.   0.]
 [152.  44.  77.  55.   0.]
 [ 49.   0.  14.  91.  20.]
 [110.   0.   0.  31. 157.]],0.35263644064852046,0.4214910317030853,0.7871756128345927,1.9328639241201537
0.41355121502729353,0.3907312341248745,0.5096059804393138,0.2882695773598646,0.333970099667774,0.31408436524715594,0.2264626074408683,0.2420419254658385,0.2603260869565217,0.4714207110172742,0.42500820258173205,0.5751575630252099,36,[[  0. 198. 114.  85. 210.]
 [ 95. 197.   8.   1.   0.]
 [169.  46.  81.  32.   0.]
 [ 49.   0.  36.  52.  37.]
 [ 90.   0.   0.  13. 195.]],0.35346781684011475,0.44053733551501406,0.7479456729876498,1.858486102095672
0.4023999491351026,0.4281947219447219,0.42158380340198526,0.34075418046006284,0.40695412311265966,0.35854362439728293,0.20734840095305207,0.23017718715393132,0.22267441860465115,0.47708790140476776,0.4775100905535688,0.5065389924085575,37,[[  0. 109. 106.  51. 120.]
 [116. 165.  16.   4.   0.]
 [181.  23. 104.  20.   0.]
 [ 59.   0.  39.  45.  31.]
 [112.   0.   0.  13. 173.]],0.3865591512075887,0.39610813706795855,0.7354410708261033,2.1352762585239753
0.4048625195804386,0.41527667179841093,0.433987389422172,0.3474677343221102,0.3962543554006969,0.39634366311195585,0.2623704578250033,0.26260822510822507,0.3210227272727273,0.43980616085082486,0.41049306086070786,0.510545051353875,38,[[  0. 127. 127.  96. 165.]
 [104. 166.  30.   1.   0.]
 [163.  25.  96.  44.   0.]
 [ 52.   0.  30.  66.  26.]
 [ 98.   0.   0.  16. 184.]],0.3793330883732669,0.44725786779358206,0.7345688644175729,2.1614846299801553
0.38031429859282134,0.39774943310657596,0.40490311276025565,0.3411873738265994,0.3689615605278256,0.4009292581581739,0.2638035820388761,0.2846078431372549,0.27509803921568626,0.4076634027610626,0.37614909600203716,0.4693977591036415,39,[[  0. 129. 140.  82. 157.]
 [113. 170.  18.   0.   0.]
 [174.  32. 104.  18.   0.]
 [ 57.   0.  40.  52.  25.]
 [101.   0.   0.  23. 174.]],0.3710895978195085,0.42061983568679995,0.7467738681783279,2.0995859780481885
